stage_id,at,spawn,count,interval,col
1,5,bug,5,4,4
1,35,bug,6,3.5,9
1,70,bug,8,3,4
1,105,bug,8,2.8,9
1,140,bug,10,2.5,4
1,180,bug,10,2.2,9
1,215,bug,12,2,4
1,250,bug,12,1.8,9
2,5,bug,5,3.8,6
2,35,bug,6,3.3,4
2,70,bug,8,2.8,8
2,105,bug,9,2.5,6
2,140,bug,10,2.2,4
2,180,bug,11,2,8
2,215,bug,12,1.8,6
2,250,bug,13,1.5,4
3,5,bug,5,3.8,6
3,35,bug,7,3.2,4
3,70,bug,8,2.8,8
3,105,bug,9,2.5,6
3,140,bug,10,2.2,4
3,180,bug,11,2,8
3,215,bug,13,1.7,6
3,250,bug,14,1.5,4
4,5,bug,6,3.6,6
4,35,bug,7,3.1,4
4,70,bug,9,2.6,8
4,105,bug,10,2.3,6
4,140,bug,11,2,4
4,180,bug,12,1.8,8
4,215,bug,14,1.6,6
4,250,bug,15,1.4,4
5,5,bug,6,3.5,4
5,35,bug,8,3,8
5,70,bug,9,2.5,6
5,105,bug,10,2.2,4
5,140,bug,12,2,8
5,180,bug,13,1.8,6
5,215,bug,15,1.5,4
5,250,bug,16,1.3,8
6,5,bug,6,3.6,6
6,35,null-ptr,6,2.0,6
6,70,bug,8,2.6,6
6,100,null-ptr,7,1.8,6
6,135,null-ptr,8,1.6,6
6,170,bug,10,2.2,6
6,205,null-ptr,9,1.5,6
6,240,null-ptr,10,1.4,6
7,5,bug,6,4,2
7,40,null-ptr,3,5.5,2
7,75,bug,7,3.4,2
7,115,null-ptr,4,5,2
7,155,bug,9,2.8,2
7,195,null-ptr,5,4.2,2
7,230,bug,12,2.1,2
7,270,bug,14,1.7,2
8,5,bug,6,3.8,2
8,40,bug,7,3.3,2
8,80,concat-nil,3,6.5,2
8,115,bug,8,2.9,2
8,160,null-ptr,4,5.5,2
8,200,bug,10,2.4,2
8,240,null-ptr,5,4,2
8,270,bug,14,1.5,2
9,5,bug,6,3.6,8
9,38,null-ptr,4,3.0,8
9,70,bug,8,2.8,8
9,100,concat-nil,3,4.0,8
9,135,null-ptr,5,2.6,8
9,170,bug,10,2.2,8
9,205,concat-nil,4,3.2,8
9,240,bug,12,1.8,8
10,5,bug,6,3.5,6
10,38,bug,8,3.0,6
10,72,null-ptr,4,3.2,6
10,105,bug,10,2.4,6
10,140,concat-nil,3,4.0,6
10,175,bug,11,2.1,6
10,210,null-ptr,5,2.6,6
10,245,bug,13,1.6,6
11,5,bug,6,3.4,4
11,38,bug,7,3.0,9
11,72,null-ptr,4,3.0,4
11,105,concat-nil,3,3.8,9
11,140,bug,10,2.2,4
11,175,null-ptr,5,2.6,9
11,210,concat-nil,4,3.0,4
11,245,bug,13,1.6,9
12,5,bug,6,3.4,3
12,38,bug,6,3.4,9
12,70,null-ptr,4,3.0,6
12,102,bug,8,2.6,3
12,135,concat-nil,3,3.6,9
12,168,null-ptr,5,2.6,6
12,200,bug,10,2.2,3
12,232,concat-nil,4,2.8,9
12,262,bug,12,1.7,6
13,5,memory-leak,2,0.3,4
13,39,memory-leak,2,0.3,4
13,73,memory-leak,2,0.3,4
13,107,memory-leak,2,0.3,4
13,141,memory-leak,2,0.3,4
13,175,memory-leak,2,0.3,4
13,209,memory-leak,2,0.3,4
13,243,memory-leak,2,0.3,4
14,5,deadlock,2,0,4
14,40,deadlock,2,0,4
14,75,deadlock,2,0,4
14,110,deadlock,2,0,4
14,145,deadlock,2,0,4
14,180,deadlock,2,0,4
14,215,deadlock,2,0,4
14,250,deadlock,2,0,4
15,5,heisenbug,21,12,4
16,5,fork-bomb,38,6.5,6
17,5,race-cond,2,2.0,5
17,27,race-cond,2,1.9,5
17,49,race-cond,2,1.9,5
17,71,race-cond,2,1.8,5
17,93,race-cond,2,1.8,5
17,115,race-cond,2,1.7,5
17,137,race-cond,2,1.7,5
17,159,race-cond,2,1.6,5
17,181,race-cond,2,1.6,5
17,203,race-cond,2,1.5,5
17,225,race-cond,2,1.5,5
17,247,race-cond,2,1.5,5
18,5,legacy,1,0,3
18,40,legacy,1,0,9
18,75,legacy,2,3,3
18,115,legacy,1,0,9
18,150,legacy,2,3,3
18,185,legacy,1,0,9
18,220,legacy,2,2.5,3
18,255,legacy,2,2.5,9
19,5,ddos-bot,5,2.0,3
19,35,ddos-bot,6,1.8,9
19,70,ddos-bot,8,1.5,3
19,105,ddos-bot,10,1.2,9
19,140,ddos-bot,30,0.4,6
19,185,ddos-bot,10,1.2,3
19,220,ddos-bot,10,1.0,9
19,255,ddos-bot,10,0.9,6
20,5,bug,6,3.0,2
20,30,null-ptr,5,2.5,6
20,60,concat-nil,4,3.0,10
20,90,memory-leak,3,2.0,2
20,115,deadlock,4,2.0,6
20,145,heisenbug,3,3.0,10
20,175,fork-bomb,4,2.0,2
20,205,race-cond,4,1.8,6
20,235,legacy,2,3.0,10
20,265,ddos-bot,15,0.5,2
20,285,kernel-panic,1,0,6
101,5,bug,7,2.6,4
101,30,bug,8,2.3,4
101,58,bug,9,2.1,4
101,88,bug,10,1.9,4
101,118,bug,11,1.8,4
101,148,bug,12,1.7,4
101,178,bug,13,1.6,4
101,210,bug,20,1.8,4
102,5,bug,6,2.6,4
102,26,null-ptr,5,2.6,4
102,48,bug,8,2.2,4
102,72,null-ptr,6,2.4,4
102,98,bug,9,2.0,4
102,122,null-ptr,7,2.2,4
102,148,bug,10,1.8,4
102,172,null-ptr,8,2.0,4
102,205,bug,22,1.8,4
103,5,bug,7,2.6,6
103,28,bug,8,2.3,6
103,52,null-ptr,6,2.6,6
103,78,bug,9,2.1,6
103,104,null-ptr,7,2.3,6
103,130,bug,10,1.9,6
103,156,null-ptr,8,2.1,6
103,182,bug,11,1.7,6
103,210,null-ptr,19,1.8,6
104,5,bug,6,2.4,7
104,24,null-ptr,5,2.4,7
104,46,concat-nil,4,3.2,7
104,72,bug,8,2.0,7
104,96,concat-nil,4,3.0,7
104,120,null-ptr,7,2.2,7
104,148,concat-nil,5,2.8,7
104,176,bug,9,1.8,7
104,200,concat-nil,5,2.6,7
104,228,null-ptr,8,2.0,7
105,5,bug,9,1.8,9
105,20,bug,10,1.6,9
105,38,null-ptr,8,1.8,9
105,56,bug,12,1.4,9
105,76,null-ptr,9,1.6,9
105,94,bug,14,1.2,9
105,114,null-ptr,11,1.4,9
105,132,bug,16,1.1,9
105,152,null-ptr,13,1.2,9
105,172,bug,18,1.0,9
105,192,null-ptr,15,1.1,9
105,212,bug,33,1.0,9
106,5,bug,5,3.0,5
106,22,deadlock,2,0,5
106,35,null-ptr,4,3.0,5
106,55,bug,6,2.6,5
106,75,deadlock,2,0,5
106,90,concat-nil,4,3.2,5
106,112,bug,7,2.4,5
106,132,deadlock,2,0,5
106,148,null-ptr,5,2.6,5
106,168,concat-nil,4,3.0,5
106,188,deadlock,2,0,5
106,204,bug,8,2.2,5
106,225,deadlock,2,0,5
106,240,null-ptr,6,2.4,5
