id,mode,concept,ui,maze_file,budget,languages,countdown,wave_clock,hints_file,solution_file,reward_item,tutorial_file,buttons_file,theme,problem,puzzle,naive_file,lore_file
1,normal,첫 타워,button,mazes/001.txt,200,lua,20,,,curriculum/001_solution.lua,,curriculum/tutorial_1.lua,curriculum/buttons_1.lua,코드 영역,첫 타워를 설치해 서버라인을 지켜라. 300초를 버티면 통과다.,,,lore/001.lua
2,normal,전략 바꾸기,button,mazes/002.txt,200,lua,15,,,curriculum/002_solution.lua,,curriculum/tutorial_2.lua,curriculum/buttons_2.lua,코드 영역,빠른 적이 몰려온다. 전략 버튼으로 대응 우선순위를 바꿔라.,,,lore/002.lua
3,normal,따라 치기,hint,mazes/003.txt,220,lua,25,,curriculum/003_hints.lua,curriculum/003_solution.lua,,curriculum/tutorial_3.lua,,코드 영역,예제 코드를 그대로 입력해 방어선을 세워라.,,,lore/003.lua
4,normal,빈칸 채우기,hint,mazes/004.txt,220,lua,25,,curriculum/004_hints.lua,curriculum/004_solution.lua,cache,curriculum/tutorial_4.lua,,데이터 영역,빈칸을 채워 가장 가까운 적을 공격하라.,,,lore/004.lua
5,normal,변수,free,mazes/005.txt,240,lua,25,,curriculum/005_hints.lua,curriculum/005_solution.lua,,,,데이터 영역,변수에 목표를 담아 매 틱 재사용하라.,,,lore/005.lua
6,normal,조건문,free,mazes/006.txt,360,lua,25,,curriculum/006_hints.lua,curriculum/006_solution.lua,webhook,,,데이터 영역,널 포인터 러시가 프린터 화력을 넘어선다. 컴파일러와 스나이퍼로 길목을 끊어라.,1,curriculum/006_naive.lua,lore/006.lua
7,normal,반복문,free,mazes/007.txt,280,lua,25,,curriculum/007_hints.lua,curriculum/007_solution.lua,,,,스택,반복문으로 모든 적을 순회해 최적의 표적을 골라라.,,,lore/007.lua
8,normal,함수,free,mazes/008.txt,300,lua,30,,curriculum/008_hints.lua,curriculum/008_solution.lua,,,,스택,표적 선정을 함수로 분리해 on_tick을 깔끔히 유지하라.,,,lore/008.lua
9,normal,복합,free,mazes/009.txt,320,lua,25,,curriculum/009_hints.lua,curriculum/009_solution.lua,,,,스택,유효 사거리가 좁다. 반복과 조건으로 소수의 자리에서 최대 화력을 내라.,1,curriculum/009_naive.lua,lore/009.lua
10,normal,테이블 활용,free,mazes/010.txt,340,lua,25,,curriculum/010_hints.lua,curriculum/010_solution.lua,,,,힙,테이블로 표적 상태를 기록하며 방어하라.,,,lore/010.lua
11,normal,종합 연습,free,mazes/011.txt,360,lua,30,,curriculum/011_hints.lua,curriculum/011_solution.lua,,,,힙,지금까지 배운 개념을 종합해 밀려드는 조각을 처리하라.,,,lore/011.lua
12,normal,최종 시험,free,mazes/012.txt,400,lua,30,,curriculum/012_hints.lua,curriculum/012_solution.lua,,,,힙,분할 지점을 모두 덮어라. 최종 시험이다.,1,curriculum/012_naive.lua,lore/012.lua
13,normal,정렬 기준,free,mazes/013.txt,300,lua,25,,curriculum/013_hints.lua,curriculum/013_solution.lua,,,,스레드,메모리 릭이 서버라인 앞에서 몸집을 불린다. 가장 오래 살아남은 릭부터 끊어라.,,,lore/013.lua
14,normal,표적 분산,free,mazes/014.txt,250,lua,25,,,curriculum/014_solution.lua,,,,스레드,두 개씩 짝지어 오는 데드락이 서로를 감싸 피해를 나눈다. 표적을 갈라 동시에 끊어라.,,,lore/014.lua
15,normal,안전 검사,free,mazes/015.txt,200,lua,25,,,curriculum/015_solution.lua,,,,스레드,하이젠버그가 가시와 은신을 오간다. 보이는 순간에만 안전하게 조준하라.,,,lore/015.lua
16,normal,광역 방어,free,mazes/016.txt,900,lua,30,,,curriculum/016_solution.lua,,,,프로세스,포크 밤이 죽을 때마다 둘로 분열한다. 단일 표적 화력으로는 물량을 못 이긴다. 광역 화력으로 쓸어담아라.,1,curriculum/016_naive.lua,lore/016.lua
17,normal,브레이크포인트,free,mazes/017.txt,400,lua,25,,curriculum/017_hints.lua,curriculum/017_solution.lua,,,,프로세스,레이스 컨디션이 대시로 사거리를 스쳐 지나간다. 디버거로 발을 묶고 프린터로 끝장내라.,,,lore/017.lua
18,normal,정밀 타격,free,mazes/018.txt,300,lua,25,,,curriculum/018_solution.lua,,,,프로세스,레거시 코드는 프린터 공격에 절반만 다친다. 컴파일러로 스나이퍼를 열어 급소를 저격하라.,,,lore/018.lua
19,normal,물량 방어,free,mazes/019.txt,450,lua,25,,,curriculum/019_solution.lua,,,,네트워크,DDoS 봇이 초당 몇 기씩 몰려온다. GC 수집기의 광역과 프린터의 연사를 길목에 겹쳐라.,,,lore/019.lua
20,normal,복합 방어,free,mazes/020.txt,900,lua,30,,,curriculum/020_solution.lua,,,,네트워크,릭이 자라고 데드락이 뭉치고 포크 밤이 갈라진다 — 그리고 커널 패닉이 온다. 배운 전부를 동원하라.,1,curriculum/020_naive.lua,lore/020.lua
