id,name,hp,speed,reward,abilities,color,desc,origin
bug,버그,30,40,10,,0.9;0.3;0.3,평범한 버그. 어디에나 있다,"1947년 그레이스 호퍼의 팀이 Mark II 릴레이에서 진짜 나방을 꺼내 로그에 붙였다 — ""버그가 실제로 발견된 최초의 사례"""
null-ptr,널 포인터,20,60,15,crash_tower,0.6;0.3;0.9,맞은 타워의 다음 판단을 nil로 만든다,"1965년 토니 호어가 ALGOL W에 널 참조를 넣었고, 훗날 스스로 ""10억 달러짜리 실수""라 사과했다"
concat-nil,attempt to concatenate a nil value,50,30,20,split,0.9;0.6;0.2,죽으면 둘로 이어붙는다..,Lua 런타임 오류 메시지 그대로다. 모든 Lua 개발자가 반드시 한 번은 만난다
memory-leak,메모리 릭,90,16,30,grow,0.55;0.9;0.5,시간이 지날수록 몸집(체력)이 불어난다,할당한 메모리를 해제하지 않으면 프로세스가 죽을 때까지 몸집이 불어난다. 새는 것은 물이 아니라 기억이다
deadlock,데드락,45,32,20,pair,0.5;0.65;0.95,둘씩 짝지어 나타나 서로를 기다린다,1965년 다익스트라의 '식사하는 철학자' 문제가 정식화했다. 서로가 서로의 락을 기다리며 아무도 움직이지 못한다
heisenbug,하이젠버그,45,40,20,phase,0.75;0.55;0.95,가끔 투명해져 공격이 통하지 않는다,관측하려 하면 사라진다 — 하이젠베르크의 불확정성 원리에서 딴 이름. 디버거를 붙이면 재현되지 않는 버그를 모든 개발자가 안다
fork-bomb,포크 밤,75,30,30,split2,0.95;0.6;0.2,죽으면 둘로 자기복제한다,""":(){ :|:& };:"" — 13글자로 시스템을 마비시키는 가장 유명한 셸 한 줄. 자기복제는 지수적으로 번진다"
race-cond,레이스 컨디션,90,48,35,dash,0.95;0.85;0.3,불규칙하게 순간적으로 돌진한다,두 스레드가 같은 값에 동시에 손을 대면 결과는 실행 순서에 달린다. 테스트에선 통과하고 금요일 배포에서 터진다
legacy,레거시 코드,320,12,70,resist:printer,0.7;0.55;0.35,프린터 공격에 강한 내성이 있다,문서도 없고 작성자도 퇴사했지만 매출은 이 코드에서 나온다. 아무도 건드리려 하지 않는다
ddos-bot,DDoS 봇,5,80,1,,0.95;0.35;0.35,약하지만 떼로 몰려온다,2016년 미라이 봇넷은 감염된 IoT 기기 수십만 대로 인터넷 절반을 마비시켰다. 하나하나는 하찮지만 물량이 곧 화력이다
kernel-panic,커널 패닉,480,14,120,grow;split2,0.9;0.3;0.7,불어나며 죽으면 둘로 갈라지는 최종 보스급 결함,커널이 복구 불능 오류를 만나면 모든 것을 멈추고 화면에 유언을 남긴다. 서버실의 모든 악몽이 여기서 합쳐진다
